 t , uL, uV
 66.000000000, -.079929671, .189948841
 67.000000000, -.079929671, .189948841
 68.000000000, -.180112907, .155705170
 69.000000000, -.180112907, .155705170
 70.000000000, -.180112907, .155705170
 71.000000000, -.180112907, .155705170
 72.000000000, .163275747, .113558253
 73.000000000, .163275747, .113558253
 74.000000000, .163275747, .113558253
 75.000000000, .163275747, .113558253
 76.000000000, -.160936557, .191109871
 77.000000000, -.160936557, .191109871
 78.000000000, -.160936557, .191109871
 79.000000000, -.160936557, .191109871
 80.000000000, -.183874644, .057617891
 81.000000000, -.183874644, .057617891
 82.000000000, -.183874644, .057617891
 83.000000000, -.183874644, .057617891
 84.000000000, -.165990078, -.077010405
 85.000000000, -.165990078, -.077010405
 86.000000000, -.165990078, -.077010405
 87.000000000, -.165990078, -.077010405
 88.000000000, .023528389, -.104922542
 89.000000000, .023528389, -.104922542
 90.000000000, .023528389, -.104922542
 91.000000000, .023528389, -.104922542
 92.000000000, .170580695, -.086607431
 93.000000000, .170580695, -.086607431
 94.000000000, .170580695, -.086607431
 95.000000000, .170580695, -.086607431
 96.000000000, -.169743687, .175751757
 97.000000000, -.169743687, .175751757
 98.000000000, -.169743687, .175751757
 99.000000000, -.169743687, .175751757
 100.000000000, .164715840, -.111951520
 101.000000000, .164715840, -.111951520
 102.000000000, .164715840, -.111951520
 103.000000000, .164715840, -.111951520
 104.000000000, -.163271126, .070537258
 105.000000000, -.163271126, .070537258
 106.000000000, -.163271126, .070537258
 107.000000000, -.163271126, .070537258
 108.000000000, .055106571, .019237880
 109.000000000, .055106571, .019237880
 110.000000000, .055106571, .019237880
 111.000000000, .055106571, .019237880
 112.000000000, .140916831, -.097386310
 113.000000000, .140916831, -.097386310
 114.000000000, .140916831, -.097386310
 115.000000000, .140916831, -.097386310
 116.000000000, -.151568914, -.131132271
 117.000000000, -.151568914, -.131132271
 118.000000000, -.151568914, -.131132271
 119.000000000, -.151568914, -.131132271
 120.000000000, .197829797, .137538802
 121.000000000, .197829797, .137538802
 122.000000000, .197829797, .137538802
 123.000000000, .197829797, .137538802
 124.000000000, .111300137, .146728171
 125.000000000, .111300137, .146728171
 126.000000000, .111300137, .146728171
 127.000000000, .111300137, .146728171
 128.000000000, -.192133987, -.017602974
 129.000000000, -.192133987, -.017602974
 130.000000000, -.192133987, -.017602974
 131.000000000, -.192133987, -.017602974
 132.000000000, -.132054536, .043147580
 133.000000000, -.132054536, .043147580
 134.000000000, -.132054536, .043147580
 135.000000000, -.132054536, .043147580
 136.000000000, .197897323, .052012942
 137.000000000, .197897323, .052012942
 138.000000000, .197897323, .052012942
 139.000000000, .197897323, .052012942
 140.000000000, .101476992, -.123970179
 141.000000000, .101476992, -.123970179
 142.000000000, .101476992, -.123970179
 143.000000000, .101476992, -.123970179
 144.000000000, -.112810492, -.163778683
 145.000000000, -.112810492, -.163778683
 146.000000000, -.112810492, -.163778683
 147.000000000, -.112810492, -.163778683
 148.000000000, .063717028, .082691026
 149.000000000, .063717028, .082691026
 150.000000000, .063717028, .082691026
 151.000000000, .063717028, .082691026
 152.000000000, .015607357, -.097331116
 153.000000000, .015607357, -.097331116
 154.000000000, .015607357, -.097331116
 155.000000000, .015607357, -.097331116
 156.000000000, -.007974652, -.082121827
 157.000000000, -.007974652, -.082121827
 158.000000000, -.007974652, -.082121827
 159.000000000, -.007974652, -.082121827
 160.000000000, .135690573, -.048437212
 161.000000000, .135690573, -.048437212
 162.000000000, .135690573, -.048437212
 163.000000000, .135690573, -.048437212
 164.000000000, -.189831914, -.138075820
 165.000000000, -.189831914, -.138075820
 166.000000000, -.189831914, -.138075820
 167.000000000, -.189831914, -.138075820
 168.000000000, .195753174, .147359930
 169.000000000, .195753174, .147359930
 170.000000000, .195753174, .147359930
 171.000000000, .195753174, .147359930
 172.000000000, .034308277, .184970167
 173.000000000, .034308277, .184970167
 174.000000000, .034308277, .184970167
 175.000000000, .034308277, .184970167
 176.000000000, .106827163, -.124377199
 177.000000000, .106827163, -.124377199
 178.000000000, .106827163, -.124377199
 179.000000000, .106827163, -.124377199
 180.000000000, -.022073259, .068858328
 181.000000000, -.022073259, .068858328
 182.000000000, -.022073259, .068858328
 183.000000000, -.022073259, .068858328
 184.000000000, .083802027, -.119402565
 185.000000000, .083802027, -.119402565
 186.000000000, .083802027, -.119402565
 187.000000000, .083802027, -.119402565
 188.000000000, .117810438, .184079167
 189.000000000, .117810438, .184079167
 190.000000000, .117810438, .184079167
 191.000000000, .117810438, .184079167
 192.000000000, -.024519457, .040653761
 193.000000000, -.024519457, .040653761
 194.000000000, -.024519457, .040653761
 195.000000000, -.024519457, .040653761
 196.000000000, -.116498679, .094656890
 197.000000000, -.116498679, .094656890
 198.000000000, -.116498679, .094656890
 199.000000000, -.116498679, .094656890
 200.000000000, .092444862, .169334765
 201.000000000, .092444862, .169334765
 202.000000000, .092444862, .169334765
 203.000000000, .092444862, .169334765
 204.000000000, .066292411, -.058759382
 205.000000000, .066292411, -.058759382
 206.000000000, .066292411, -.058759382
 207.000000000, .066292411, -.058759382
 208.000000000, .088829675, .191164380
 209.000000000, .088829675, .191164380
 210.000000000, .088829675, .191164380
 211.000000000, .088829675, .191164380
 212.000000000, -.115411607, .109383206
 213.000000000, -.115411607, .109383206
 214.000000000, -.115411607, .109383206
 215.000000000, -.115411607, .109383206
 216.000000000, -.076699383, .027707065
 217.000000000, -.076699383, .027707065
 218.000000000, -.076699383, .027707065
 219.000000000, -.076699383, .027707065
 220.000000000, -.094804432, -.127187001
