"time","L","S","E","I_S","I_A","H","R","D"
49.5,0.,0.7827583069813274,0.0016423998564552024,0.00012760288149958555,0.0015645193236734634,0.00017124961172940647,0.21172479131665473,0.002011129997660017,""
50.,0.,0.7831768959521135,0.0016539086587050934,0.00012847477597201665,0.0015750030433273744,0.000172351185146865,0.2112808344489022,0.0020125319048327687,""
50.5,0.,0.7835929896474425,0.0016655407295861526,0.00012935606613809583,0.0015856004787910404,0.0001734649265991509,0.21083910527614982,0.002013942844293025,""
51.,0.,0.7840065798510908,0.0016772974212660293,0.00013024683677168809,0.0015963127880797626,0.00017459097613035699,0.2103996091720043,0.002015362923656839,""
51.5,0.,0.7844176585852997,0.0016891800577908892,0.0001311471721996075,0.0016071411088026356,0.00017572946906381696,0.20996235132703367,0.0020167922488094725,""
52.,0.,0.7848262186999138,0.0017011898656099532,0.0001320571551971565,0.0016180865077480423,0.00017688052433924572,0.20952733629656223,0.002018230919629388,""
52.5,0.,0.7852322530447777,0.001713328071172442,0.0001329768685396376,0.001629150051704365,0.00017804426089635812,0.20909456863591425,0.0020196790359950497,""
53.,0.,0.7856357544697362,0.001725595900927576,0.0001339063950023533,0.0016403328074599869,0.0001792207976748691,0.2086640529004139,0.0020211366977849203,""
53.5,0.,0.786036715824634,0.0017379945813245765,0.0001348458173606061,0.0016516358418032907,0.00018041025361449354,0.2082357936453855,0.0020226040048774638,""
54.,0.,0.786435129779404,0.001750525343627433,0.00013579522255389667,0.0016630602492226708,0.00018161274773287006,0.2078097955677018,0.002024081058757124,""
54.5,0.,0.7868309869373593,0.0017631894744067895,0.0001367547453553552,0.0016746074423931304,0.00018282839994273684,0.2073860649901865,0.0020255679793560522,""
55.,0.,0.7872242788636676,0.0017759882344922295,0.00013772449827517891,0.0016862786858978965,0.00018405732974023103,0.20696460747890627,0.0020270648780203893,""
55.5,0.,0.7876149976287427,0.0017889228711920181,0.00013870458212924435,0.0016980751665302337,0.00018529965640265658,0.20654542820241678,0.0020285718615861968,""
56.,0.,0.7880031353029979,0.0018019946318144203,0.0001396950977334281,0.0017099980710834073,0.00018655549920731755,0.20612853232927378,0.0020300890368895375,""
56.5,0.,0.7883886839568469,0.001815204763667701,0.00014069614590360668,0.0017220485863506825,0.0001878249774315179,0.20571392502803296,0.002031616510766474,""
57.,0.,0.7887716356607031,0.0018285545140601254,0.0001417078274556567,0.0017342278991253242,0.00018910821035256157,0.20530161146725007,0.002033154390053068,""
57.5,0.,0.7891519821148818,0.0018420451330008064,0.00014273025410645437,0.0017465372566903697,0.00019040531524799564,0.20489159711001745,0.002034702785054972,""
58.,0.,0.7895297133001343,0.0018556778830476418,0.00014376358822152765,0.0017589781873788054,0.00019171640010401777,0.20448388878791512,0.0020362618221983777,""
58.5,0.,0.7899048202272153,0.0018694540192419206,0.00014480796182831992,0.0017715520511772391,0.00019304157847225995,0.20407849251281138,0.002037831618253419,""
59.,0.,0.7902772941009285,0.0018833747952088278,0.0001458635012386791,0.001784260176356373,0.0001943809649528636,0.20367541414214355,0.0020394122881710604,""
59.5,0.,0.7906471261260778,0.001897441464573548,0.0001469303327644531,0.00179710389118691,0.0001957346741459702,0.20327465953334886,0.0020410039469022662,""
60.,0.,0.7910143072240582,0.0019116553707453903,0.00014800857019398842,0.0018100844975264233,0.00019710283404824803,0.20287623476136024,0.002042606711067308,""
