"time","L","S","E","I_S","I_A","H","R","D","V","YIS","YIH","Vcon","XMAY"
"t","NCL","NCS","NCE","NCIS","NCIA","NCH","NCR","NCD","NCV"
82.,0.,0.773736733,0.002552855,0.000187164,0.002404496,0.000069349,0.18734916,0.002112946,0.031587298
83.,0.,0.773918135,0.002593404,0.000190101,0.002441844,0.000070429,0.18676148,0.002117165,0.031907442
84.,0.,0.7740892,0.00263474,0.000193097,0.002479927,0.000071531,0.186184204,0.00212145,0.032225851
85.,0.,0.77424983,0.002676876,0.000196151,0.002518758,0.000072654,0.185617415,0.002125803,0.032542513
86.,0.,0.774399921,0.002719825,0.000199264,0.002558349,0.000073799,0.185061197,0.002130224,0.03285742
87.,0.,0.77453937,0.002763601,0.000202438,0.002598713,0.000074967,0.184515636,0.002134716,0.033170559
88.,0.,0.774668071,0.002808216,0.000205673,0.002639864,0.000076157,0.183980819,0.002139279,0.033481921
89.,0.,0.774785916,0.002853685,0.00020897,0.002681813,0.000077371,0.183456836,0.002143915,0.033791494
90.,0.,0.774892796,0.00290002,0.000212331,0.002724574,0.000078608,0.182943779,0.002148626,0.034099266
91.,0.,0.774988598,0.002947235,0.000215757,0.002768162,0.000079868,0.182441741,0.002153412,0.034405227
92.,0.,0.775073209,0.002995344,0.000219248,0.002812587,0.000081153,0.181950818,0.002158276,0.034709365
93.,0.,0.775146514,0.003044359,0.000222805,0.002857866,0.000082463,0.181471109,0.002163218,0.035011667
94.,0.,0.775208394,0.003094296,0.00022643,0.00290401,0.000083797,0.181002712,0.00216824,0.035312121
95.,0.,0.775258731,0.003145167,0.000230124,0.002951033,0.000085157,0.18054573,0.002173344,0.035610714
96.,0.,0.775297404,0.003196986,0.000233887,0.00299895,0.000086543,0.180100265,0.002178531,0.035907434
97.,0.,0.775324289,0.003249767,0.000237721,0.003047773,0.000087955,0.179666425,0.002183803,0.036202267
98.,0.,0.775339262,0.003303523,0.000241626,0.003097518,0.000089394,0.179244315,0.002189162,0.036495199
99.,0.,0.775342196,0.003358269,0.000245605,0.003148197,0.000090859,0.178834047,0.002194608,0.036786218
100.,0.,0.775332962,0.003414018,0.000249657,0.003199824,0.000092352,0.178435732,0.002200145,0.03707531
101.,0.,0.77531143,0.003470783,0.000253784,0.003252413,0.000093873,0.178049484,0.002205772,0.037362459
102.,0.,0.77527747,0.003528579,0.000257987,0.003305979,0.000095422,0.177675418,0.002211493,0.037647651
103.,0.,0.775230946,0.003587418,0.000262267,0.003360535,0.000097,0.177313653,0.002217308,0.037930873
104.,0.,0.775171725,0.003647314,0.000266625,0.003416095,0.000098606,0.176964307,0.00222322,0.038212108
105.,0.,0.775099669,0.00370828,0.000271062,0.003472673,0.000100242,0.176627503,0.00222923,0.038491341
106.,0.,0.77501464,0.00377033,0.000275579,0.003530283,0.000101908,0.176303363,0.00223534,0.038768556
107.,0.,0.774916499,0.003833476,0.000280178,0.003588939,0.000103604,0.175992014,0.002241552,0.039043739
108.,0.,0.774805105,0.003897731,0.000284858,0.003648653,0.000105331,0.175693583,0.002247867,0.039316872
109.,0.,0.774680315,0.003963109,0.000289622,0.00370944,0.000107088,0.175408199,0.002254288,0.039587939
110.,0.,0.774541986,0.00402962,0.000294469,0.003771314,0.000108877,0.175135993,0.002260816,0.039856924
111.,0.,0.774389972,0.004097279,0.000299402,0.003834288,0.000110698,0.174877098,0.002267454,0.04012381
112.,0.,0.77422413,0.004166095,0.000304421,0.003898374,0.00011255,0.174631648,0.002274203,0.040388579
113.,0.,0.77404431,0.004236082,0.000309527,0.003963586,0.000114436,0.17439978,0.002281064,0.040651214
114.,0.,0.773850366,0.004307251,0.000314721,0.004029937,0.000116354,0.174181632,0.002288041,0.040911698
115.,0.,0.773642148,0.004379612,0.000320004,0.00409744,0.000118305,0.173977344,0.002295135,0.041170011
116.,0.,0.773419508,0.004453176,0.000325377,0.004166107,0.00012029,0.173787056,0.002302349,0.041426137
117.,0.,0.773182295,0.004527954,0.00033084,0.004235949,0.000122309,0.173610912,0.002309683,0.041680057
118.,0.,0.772930359,0.004603956,0.000336395,0.00430698,0.000124362,0.173449056,0.00231714,0.041931752
119.,0.,0.772663549,0.00468119,0.000342042,0.004379211,0.00012645,0.173301632,0.002324722,0.042181203
120.,0.,0.772381713,0.004759667,0.000347783,0.004452652,0.000128572,0.17316879,0.002332432,0.042428392
121.,0.,0.772084699,0.004839394,0.000353617,0.004527315,0.00013073,0.173050675,0.002340271,0.042673298
122.,0.,0.771772357,0.004920379,0.000359546,0.004603211,0.000132923,0.172947439,0.002348242,0.042915903
123.,0.,0.771444535,0.00500263,0.00036557,0.004680349,0.000135153,0.172859231,0.002356346,0.043156186
124.,0.,0.771101082,0.005086153,0.00037169,0.004758739,0.000137418,0.172786204,0.002364586,0.043394128
125.,0.,0.770741847,0.005170955,0.000377907,0.00483839,0.00013972,0.172728509,0.002372964,0.043629709
126.,0.,0.770366679,0.005257041,0.00038422,0.004919312,0.000142058,0.172686299,0.002381482,0.043862908
127.,0.,0.76997543,0.005344416,0.000390632,0.005001512,0.000144433,0.17265973,0.002390143,0.044093706
128.,0.,0.769567951,0.005433083,0.000397141,0.005084997,0.000146845,0.172648955,0.002398948,0.044322081
129.,0.,0.769144094,0.005523046,0.000403749,0.005169776,0.000149294,0.172654129,0.002407899,0.044548013
130.,0.,0.768703713,0.005614308,0.000410456,0.005255853,0.000151781,0.172675409,0.002417,0.044771481
131.,0.,0.768246664,0.005706869,0.000417262,0.005343236,0.000154305,0.172712949,0.002426251,0.044992464
132.,0.,0.767772803,0.00580073,0.000424168,0.005431928,0.000156867,0.172766906,0.002435656,0.045210942
133.,0.,0.767281989,0.005895891,0.000431173,0.005521934,0.000159467,0.172837436,0.002445217,0.045426893
134.,0.,0.766774084,0.005992351,0.000438278,0.005613257,0.000162105,0.172924694,0.002454936,0.045640296
135.,0.,0.766248949,0.006090107,0.000445483,0.005705901,0.00016478,0.173028836,0.002464814,0.04585113
136.,0.,0.765706452,0.006189155,0.000452787,0.005799866,0.000167494,0.173150016,0.002474855,0.046059374
137.,0.,0.765146461,0.006289492,0.000460191,0.005895153,0.000170246,0.173288389,0.002485061,0.046265007
138.,0.,0.764568847,0.00639111,0.000467695,0.005991763,0.000173035,0.173444108,0.002495434,0.046468008
139.,0.,0.763973485,0.006494004,0.000475297,0.006089694,0.000175863,0.173617326,0.002505975,0.046668355
140.,0.,0.763360253,0.006598165,0.000482999,0.006188944,0.000178728,0.173808194,0.002516688,0.046866028
141.,0.,0.762729034,0.006703583,0.000490799,0.00628951,0.000181631,0.174016861,0.002527575,0.047061006
142.,0.,0.762079714,0.006810248,0.000498697,0.006391388,0.000184572,0.174243477,0.002538637,0.047253267
143.,0.,0.761412183,0.006918148,0.000506692,0.006494571,0.000187551,0.174488187,0.002549877,0.047442791
144.,0.,0.760726337,0.007027268,0.000514783,0.006599054,0.000190566,0.174751136,0.002561298,0.047629558
145.,0.,0.760022076,0.007137594,0.000522971,0.006704827,0.000193619,0.175032466,0.002572901,0.047813547
146.,0.,0.759299305,0.007249109,0.000531253,0.006811883,0.000196708,0.175332317,0.002584688,0.047994738
147.,0.,0.758557934,0.007361795,0.000539629,0.00692021,0.000199834,0.175650827,0.002596662,0.04817311
148.,0.,0.757797881,0.007475632,0.000548097,0.007029797,0.000202995,0.175988129,0.002608825,0.048348645
149.,0.,0.757019067,0.007590598,0.000556657,0.007140629,0.000206193,0.176344354,0.002621178,0.048521323
150.,0.,0.756221423,0.007706672,0.000565306,0.007252693,0.000209425,0.176719631,0.002633725,0.048691125
151.,0.,0.755404884,0.007823827,0.000574044,0.007365971,0.000212692,0.177114083,0.002646466,0.048858032
152.,0.,0.754569392,0.007942038,0.000582869,0.007480447,0.000215994,0.17752783,0.002659405,0.049022026
153.,0.,0.753714899,0.008061276,0.000591779,0.007596099,0.000219329,0.177960988,0.002672542,0.049183089
154.,0.,0.752841361,0.008181512,0.000600771,0.007712909,0.000222697,0.178413668,0.00268588,0.049341202
155.,0.,0.751948745,0.008302713,0.000609845,0.007830852,0.000226097,0.178885977,0.00269942,0.049496351
156.,0.,0.751037026,0.008424846,0.000618998,0.007949904,0.000229529,0.179378015,0.002713166,0.049648517
157.,0.,0.750106185,0.008547875,0.000628228,0.008070039,0.000232991,0.17988988,0.002727117,0.049797685
158.,0.,0.749156216,0.008671764,0.000637532,0.008191229,0.000236484,0.180421661,0.002741276,0.049943839
159.,0.,0.748187118,0.008796472,0.000646907,0.008313445,0.000240005,0.180973443,0.002755645,0.050086965
160.,0.,0.747198904,0.008921958,0.000656351,0.008436655,0.000243555,0.181545303,0.002770226,0.050227049
161.,0.,0.746191593,0.009048179,0.000665862,0.008560825,0.000247131,0.182137314,0.002785019,0.050364077
162.,0.,0.745165218,0.00917509,0.000675436,0.00868592,0.000250734,0.182749539,0.002800026,0.050498037
163.,0.,0.744119819,0.009302644,0.000685069,0.008811904,0.000254362,0.183382036,0.002815249,0.050628916
164.,0.,0.743055449,0.009430792,0.000694759,0.008938737,0.000258014,0.184034856,0.00283069,0.050756703
165.,0.,0.741972172,0.009559483,0.000704503,0.009066379,0.000261688,0.184708039,0.002846348,0.050881389
166.,0.,0.740870063,0.009688663,0.000714296,0.009194786,0.000265384,0.185401619,0.002862227,0.051002963
